ABAMPERES	ABAMPERE, a unit of electric current equivalent to 10 amperes [n]
ABAMPS	ABAMP, short for ABAMPERE, a unit of electric current equivalent to 10 amperes [n]
ABAND	(Spenser) to abandon [v -ED, -ING, -S]
ABANDED	ABAND, (Spenser) to abandon [v]
ABANDING	ABAND, (Spenser) to abandon [v]
ABANDON	to leave or give up completely [v -ED, -ING, -S]
ABANDONED	ABANDON, to leave or give up completely [v]
ABANDONEDLY	ABANDONED, ABANDON, to leave or give up completely [adv]
ABANDONEE	one to whom anything is legally abandoned [n -S]
ABANDONEES	ABANDONEE, one to whom anything is legally abandoned [n]
ABANDONER	one who abandons [n -S]
ABANDONERS	ABANDONER, one who abandons [n]
ABANDONING	ABANDON, to leave or give up completely [v]
ABANDONMENT	the state of being abandoned [n -S]
ABANDONMENTS	ABANDONMENT, the state of being abandoned [n]
ABANDONS	ABANDON, to leave or give up completely [v]
ABANDONWARE	computer software that is no longer sold or supported by the publisher [n -S]
ABANDONWARES	ABANDONWARE, computer software that is no longer sold or supported by the publisher [n]
ABANDS	ABAND, (Spenser) to abandon [v]
ABAPICAL	directed away from the apex [adj]
ABAS	ABA, a Syrian cloth of goat's or camel's hair; an outer garment made of it, also ABAYA [n]
ABASE	to lower in rank, prestige, or esteem [v ABASED, ABASING, ABASES]
ABASED	ABASE, to lower in rank, prestige, or esteem [v]
ABASEDLY	ABASED, ABASE, to lower in rank, prestige, or esteem [adv]
ABASEMENT	the state of being abased (humbled); humiliation [n -S]
ABASEMENTS	ABASEMENT, the state of being abased (humbled); humiliation [n]
ABASER	one who abases [n -S]
ABASERS	ABASER, one who abases [n]
ABASES	ABASE, to lower in rank, prestige, or esteem [v]
ABASH	to strike with shame [v -ED, -ING, -ES]
ABASHED	ABASH, to strike with shame [v]
ABASHEDLY	ABASHED, ABASH, to strike with shame [adv]
ABASHES	ABASH, to strike with shame [v]
ABASHING	ABASH, to strike with shame [v]
ABASHLESS	(obsolete) unabashed (unashamed; not embarrassed) [adj]
ABASHMENT	the state of being abashed [n -S]
ABASHMENTS	ABASHMENT, the state of being abashed [n]
ABASIA	the inability to walk due to lack of muscular coordination [n -S]
ABASIAS	ABASIA, the inability to walk due to lack of muscular coordination [n]
ABASING	ABASE, to lower in rank, prestige, or esteem [v]
ABASK	in genial warmth [adv]
ABATABLE	able to be abated as, an abatable writ or nuisance [adj]
ABATE	to reduce in intensity [v ABATED, ABATING, ABATES]
ABATED	ABATE, to reduce in intensity [v]
ABATEMENT	a diminution; a mark of dishonour added to heraldic arms [n -S]
ABATEMENTS	ABATEMENT, a diminution; a mark of dishonour added to heraldic arms [n]
ABATER	one who abates [n -S]
ABATERS	ABATER, one who abates [n]
ABATES	ABATE, to reduce in intensity [v]
ABATING	ABATE, to reduce in intensity [v]
ABATIS	(French) a barrier made of felled trees, also ABATTIS [n -ES]
ABATISES	ABATIS, (French) a barrier made of felled trees, also ABATTIS [n]
ABATOR	one who unlawfully seizes an inheritance [n -S]
ABATORS	ABATOR, one who unlawfully seizes an inheritance [n]
ABATTIS	(French) a barrier made of felled trees or branches, also ABATIS [n -ES]
ABATTISES	ABATTIS, (French) a barrier made of felled trees or branches, also ABATIS [n]
ABATTOIR	(French) a public slaughterhouse [n -S]
ABATTOIRS	ABATTOIR, (French) a public slaughterhouse [n]
ABATTU	(French) cast down, dejected [adj]
ABATURE	(French) a trail through a wood beaten down by a stag [n -S]
ABATURES	ABATURE, (French) a trail through a wood beaten down by a stag [n]
ABAXIAL	facing away from the axis, as the surface of a leaf, also ABAXILE [adj]
ABAXILE	facing away from the axis, as the surface of a leaf, also ABAXIAL [adj]
ABAYA	a Syrian cloth of goat's or camel's hair; an outer garment made of it, also ABA, ABBA [n -S]
ABAYAS	ABAYA, a Syrian cloth of goat's or camel's hair; an outer garment made of it, also ABA, ABBA [n]
ABB	a woof yarn [n -S]
ABBA	a Syrian cloth of goat's or camel's hair; an outer garment made of it, also ABA, ABAYA [n -S]
ABBACIES	ABBACY, the office of an abbot, also ABBOTCY [n]
ABBACY	the office of an abbot, also ABBOTCY [n ABBACIES]
ABBAS	ABBA, a Syrian cloth of goat's or camel's hair; an outer garment made of it, also ABA, ABAYA [n]
